Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C16",0402,3,10uf,C15525
"C10, C11",0402,2,15pf,C1548
"C12, C13",0402,2,1.5pf,C1552
"C14, C3, C5, C6",0402,4,100nf,C1525
"C17, C2, C4, C7, C8",0402,5,1uf,C52923
C18,CP_Radial_D10.0mm_P5.00mm,1,470uf,
C9,0402,1,10nf,C15195
D1,D_SMA,1,SS14,C2480
E1,XDCR_ANT3216A063R2400A,1,ANT3216A063R2400A,
J2,PinSocket_1x03_P2.54mm_Vertical,1,LED Connector,
L1,0402,1,2.7nH,C27123
Q1,SOT-23,1,Si2319CDS,C10487
"R1, R2, R3",0402,3,10k,C25744
"R4, R5",0402,2,5.1k,C25905
"R6, R7",0402,2,22Ohm,C25092
R8,0402,1,220,C25091
R9,0402,1,100k,C25741
SW1,SW_SPST_TS-1088-xR020,1,BOOT,C720477
SW2,SW_SPST_TS-1088-xR020,1,RST,C720477
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,SOP65P640X120-24N,1,SN74LVC4245APWR,C7859
U3,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,1,ESP32-C3,C2838500
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C252255
